vedpos;name;place;kolvo;placepriority;
1;Аппарат кассовый, Атол 30Ф, с фискальной памятью;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
2;АТС модуль расширения, Panasonic, KX-TVM50,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
3;АТС модуль расширения, АСТАРТА, iBase TDMoIP 4xE1,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
4;Дрель электрическая, -шуруповерт аккумуляторная Makita 6319DWAE,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
5;ИБП, CyberPower, OR1000ELCDRM1U,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
6;ИБП, Smart-UPS 3000,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
7;ИБП, Smart-UPS 3000,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
8;ИБП, APC, Back-UPS BR900G-RS,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
9;ИБП, APC, Back-UPS Pro 900,;Управление Офис 1 (Земляной вал, 61 стр. 2);14;1;
10;ИБП, APC, Back-UPS Pro 900,;Управление Офис 1 (Земляной вал, 61 стр. 2);2;1;
11;Инструмент для сетей и компьютерной техники, для заделки кабеля, Cabeus HT-3240;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
12;Клавиатура, USB Apple Magic Keyboard,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
13;Клавиатура, USB CHERRY G86-63400,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
14;Колонки для компьютерной техники, Logitech, Z-120;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
15;Компьютер, персональный компьютер, HP 7300 Windows 7 Professional,;Управление Офис 1 (Земляной вал, 61 стр. 2);9;1;
16;Компьютер, персональный компьютер, Dell 3470 Dos,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
17;Компьютер, персональный компьютер, HP 400G1PD DM Windows 7 Professional,;Управление Офис 1 (Земляной вал, 61 стр. 2);1;1;
