vedpos;name;place;kolvo;placepriority;
1;Ђппарат длЯ нагрева и охлаждениЯ воды, HotFrost бутыль 19л 220U,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
2;„рель, -шуруповерт аккумулЯторнаЯ BOSCH GSB 120-LI,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
3;„рель, -шуруповерт аккумулЯторнаЯ BOSCH GSB 18-2-LI Plus,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
4;€ЃЏ, APC, Back-RS900VA(BR900GI),;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
5;€ЃЏ, APC, Back-UPS Pro 900,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);3;1;
6;€ЃЏ, APC, BR900MI,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
7;€нструмент обжимной, пресс-клещи (кримпер) CP-376,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
8;Љлавиатура, USB Logitech Desktop K120,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);2;1;
9;Љомпьютер, персональный компьютер, Dell 3470-0908 Core i3-8100, 4 Gb, 1 Tb, Linux,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
10;Љомпьютер, персональный компьютер, Dell Optiplex 3050 MT Windows 10,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
11;Љомпьютер, персональный компьютер, Dell Vostro 3268, Intel Core i57400/DDR4 4GB/1000GB Dos,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
12;Љомпьютер, персональный компьютер, Dell Vostro 3670-0939 Core i3-8100, 4 Gb, 1 Tb, Linux,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);4;1;
13;Љомпьютер, персональный компьютер, HP 400 G3PD MT i56500 Dos,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
14;Љомпьютер, персональный компьютер, HP ProDesk 490 G3 MT i7-6700, 8GB, 1 Tb, Windows 10,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
15;Љомпьютер, системный блок, Dell Vostro 3671 i3-9100, 4 Gb, 1 Tb, Dos,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);6;1;
16;Љомпьютер, системный блок, Dell Vostro 3671 i3-9100, 4 Gb, 1 Tb, Windows 10 Professional,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
17;Љомпьютер, системный блок, Dell Vostro 3681 Core i3-10100, 8GB, 1 Tb, Windows 10 Professional,;ЏЃ Ѓирюлево Ћфис 2 (ул.Џодольских курсантов, 22Ѓ);1;1;
